Rocket,mission_code,Agency,date,year,month,day,Location,Lon,Lat,mission detail
Ariane 5 ECA,Hellas Sat 4/SaudiGeoSat-1,Arianespace,31/10/2018,2018,10,31,"Kourou, French Guiana",-52.768,5.239,N/A
Ariane 5 ECA,EDRS-C/HYLAS 3,Arianespace,30/11/2018,2018,11,30,"Kourou, French Guiana",-52.768,5.239,N/A
Ariane 5 ECA,GEO-KOMPSAT-2A,Arianespace,30/11/2018,2018,11,30,"Kourou, French Guiana",-52.768,5.239,N/A
Ariane 5 ECA,GSAT-31,Arianespace,30/11/2018,2018,11,30,"Kourou, French Guiana",-52.768,5.239,N/A
Vega-C,KOMPSAT-7,Arianespace,30/11/2018,2018,11,30,"Kourou, French Guiana",-52.775,5.236,KOMPSAT-7 is the follow-up model of KOMPSAT-3A whose mission is to provide high-resolution satellite images to satisfy South-Korea’s governmental and institutional needs.
Soyuz STB/Fregat,MetOp-C,Arianespace,06/11/2018,2018,11,6,"Kourou, French Guiana",-52.8346,5.3019,MetOp is a series of three polar orbiting meteorological satellites developed by the European Space Agency (ESA).
Vega,Mohammed VI-B,Arianespace,05/11/2018,2018,11,5,"Kourou, French Guiana",-52.775,5.236,N/A
Long March 2C,CFOSAT,China Aerospace Science and Technology Corporation,29/10/2018,2018,10,29,"Jiuquan, People's Republic of China",100.291,40.958,CFOSAT (China-France Oceanography SATellite) is a joint mission of the Chinese (CNSA) and French (CNES) space agencies with the goal to monitor the ocean surface winds and waves and to provide information on related ocean and atmospheric science and applications. The primary objective of CFOSAT is to monitor on a global scale the wind and waves at the ocean surface.
GSLV Mk III,GSAT-29,Indian Space Research Organization,31/10/2018,2018,10,31,"Sriharikota, Republic of India",80.2304,13.7199,GSAT-29 is a geostationary communications satellite developed by ISRO. GSAT-29 carries Ka x Ku multi-beam and optical communication payloads.
GSLV Mk II,GSAT-7A,Indian Space Research Organization,31/10/2018,2018,10,31,"Sriharikota, Republic of India",80.2304,13.7199,GSAT-7A is a geostationary communications satellite for the Indian Air Force (IAF).
PSLV,EMISAT,Indian Space Research Organization,30/11/2018,2018,11,30,"Sriharikota, Republic of India",80.2304,13.7199,N/A
PSLV XL,HySIS,Indian Space Research Organization,21/11/2018,2018,11,21,"Sriharikota, Republic of India",80.2304,13.7199,N/A
